Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Battersea;Marsha De Cordova;11;Wandsworth;79350;0.34;0.17;0.23;0.18;0.06;0.00;0.00;0.01;0.006;0.984;0;0.009;0;0;0;0
Beaconsfield;Joy Morrissey;12;Buckinghamshire;77720;0.23;0.41;0.11;0.14;0.10;0.00;0.00;0.01;0.719;0.035;0.193;0.052;0;0;0;0
Beckenham;Unknown (LAB gain from CON);11;Bromley;68662;0.22;0.37;0.12;0.17;0.10;0.00;0.00;0.02;0.439;0.534;0.005;0.021;0;0;0;0
Bedford;Mohammad Yasin;9;Bedfordshire;71581;0.32;0.28;0.10;0.21;0.08;0.00;0.00;0.02;0.03;0.948;0.001;0.019;0;0;0;0
Bedfordshire Mid;Nadine Dorries;9;Bedfordshire;87795;0.34;0.25;0.12;0.21;0.08;0.00;0.00;0.01;0.464;0.413;0.054;0.068;0;0;0;0
Bedfordshire North East;Unknown (LAB gain from CON);9;Bedfordshire;90678;0.09;0.38;0.21;0.11;0.19;0.00;0.00;0.02;0.406;0.512;0.017;0.064;0;0;0;0
Bedfordshire South West;Unknown (LAB gain from CON);9;Bedfordshire;79926;0.09;0.35;0.12;0.10;0.23;0.00;0.00;0.11;0.282;0.66;0.007;0.05;0;0;0;0
Bermondsey and Old Southwark;Neil Coyle;11;Southwark;93248;0.30;0.28;0.09;0.25;0.06;0.00;0.00;0.01;0;0.989;0.009;0.002;0;0;0;0
Berwick-upon-Tweed;Anne-Marie Trevelyan;3;Northumberland;59939;0.33;0.25;0.10;0.22;0.08;0.00;0.00;0.03;0.47;0.403;0.046;0.08;0;0;0;0
Bethnal Green and Bow;Rushanara Ali;11;Tower Hamlets;88262;0.29;0.29;0.08;0.26;0.07;0.00;0.00;0.01;0;1;0;0;0;0;0;0
Beverley and Holderness;Unknown (LAB gain from CON);5;Humber area;79696;0.27;0.19;0.31;0.16;0.07;0.00;0.00;0.01;0.342;0.566;0.005;0.087;0;0;0;0
Bexhill and Battle;Huw Merriman;12;East Sussex;81963;0.11;0.40;0.08;0.20;0.21;0.00;0.00;0.01;0.64;0.231;0.029;0.097;0.002;0;0;0
Bexleyheath and Crayford;Unknown (LAB gain from CON);11;Bexley;65466;0.22;0.37;0.09;0.17;0.12;0.00;0.00;0.03;0.333;0.648;0;0.019;0;0;0;0
Birkenhead;Mick Whitley;4;Merseyside;63762;0.19;0.33;0.07;0.27;0.11;0.00;0.00;0.03;0;0.989;0;0.01;0;0;0;0
Birmingham Edgbaston;Preet Gill;7;Birmingham;68828;0.16;0.34;0.13;0.13;0.15;0.00;0.00;0.09;0.004;0.994;0;0.002;0;0;0;0
Birmingham Erdington;Jack Dromey;7;Birmingham;66148;0.20;0.29;0.07;0.26;0.12;0.00;0.00;0.07;0.039;0.958;0;0.003;0;0;0;0
Birmingham Hall Green;Tahir Ali;7;Birmingham;80283;0.12;0.38;0.09;0.12;0.19;0.00;0.00;0.10;0;0.998;0;0.002;0;0;0;0
Birmingham Hodge Hill;Liam Byrne;7;Birmingham;78295;0.24;0.31;0.08;0.25;0.10;0.00;0.00;0.01;0;0.999;0;0.001;0;0;0;0
Birmingham Ladywood;Shabana Mahmood;7;Birmingham;74912;0.12;0.23;0.05;0.10;0.09;0.00;0.35;0.06;0;1;0;0;0;0;0;0
Birmingham Northfield;Unknown (LAB gain from CON);7;Birmingham;73694;0.18;0.36;0.10;0.18;0.15;0.00;0.00;0.03;0.023;0.961;0;0.015;0;0;0;0
Birmingham Perry Barr;Khalid Mahmood;7;Birmingham;72006;0.17;0.31;0.12;0.22;0.11;0.00;0.00;0.08;0;0.999;0;0;0;0;0;0
Birmingham Selly Oak;Steve McCabe;7;Birmingham;82665;0.24;0.32;0.07;0.29;0.08;0.00;0.00;0.01;0.001;0.995;0;0.003;0;0;0;0
Birmingham Yardley;Jess Phillips;7;Birmingham;74704;0.13;0.22;0.04;0.17;0.08;0.00;0.27;0.09;0.002;0.988;0;0.009;0;0;0;0
Bishop Auckland;Unknown (LAB gain from CON);3;Durham;68170;0.13;0.38;0.08;0.26;0.14;0.00;0.00;0.01;0.058;0.91;0;0.031;0;0;0;0
Blackburn;Kate Hollern;4;Lancashire;71234;0.27;0.30;0.06;0.30;0.06;0.00;0.00;0.01;0;1;0;0;0;0;0;0
Blackley and Broughton;Graham Stringer;4;Central Manchester;73372;0.18;0.34;0.06;0.33;0.08;0.00;0.00;0.01;0;0.999;0;0;0;0;0;0
Blackpool North and Cleveleys;Unknown (LAB gain from CON);4;Lancashire;63692;0.16;0.38;0.08;0.28;0.09;0.00;0.00;0.01;0.112;0.873;0;0.015;0;0;0;0
Blackpool South;Unknown (LAB gain from CON);4;Lancashire;57690;0.17;0.36;0.07;0.31;0.09;0.00;0.00;0.01;0.032;0.953;0;0.015;0;0;0;0
Blaydon;Liz Twist;3;Newcastle area;67853;0.31;0.24;0.11;0.26;0.06;0.00;0.00;0.01;0.004;0.97;0;0.025;0;0;0;0
Blyth Valley;Unknown (LAB gain from CON);3;Northumberland;64429;0.24;0.30;0.06;0.29;0.10;0.00;0.00;0.01;0.011;0.97;0;0.018;0;0;0;0
Bognor Regis and Littlehampton;Nick Gibb;12;West Sussex;77446;0.22;0.29;0.06;0.27;0.13;0.00;0.00;0.02;0.62;0.315;0.011;0.053;0;0;0;0
Bolsover;Unknown (LAB gain from CON);8;Derbyshire;74292;0.15;0.32;0.07;0.29;0.12;0.00;0.00;0.04;0.017;0.942;0;0.041;0;0;0;0
Bolton North East;Unknown (LAB gain from CON);4;Western Manchester;67564;0.25;0.31;0.07;0.24;0.11;0.00;0.00;0.01;0.026;0.961;0;0.012;0;0;0;0
Bolton South East;Yasmin Qureshi;4;Western Manchester;69163;0.08;0.50;0.07;0.19;0.14;0.00;0.00;0.01;0.001;0.996;0;0.003;0;0;0;0
Bolton West;Unknown (LAB gain from CON);4;Western Manchester;73191;0.30;0.15;0.05;0.42;0.06;0.00;0.00;0.01;0.058;0.912;0;0.029;0;0;0;0
Bootle;Peter Dowd;4;Merseyside;74832;0.27;0.34;0.10;0.19;0.09;0.00;0.00;0.02;0;1;0;0;0;0;0;0
Boston and Skegness;Matt Warman;8;Lincolnshire;69381;0.26;0.29;0.12;0.21;0.10;0.00;0.00;0.01;0.526;0.298;0;0.175;0;0;0;0
Bosworth;Luke Evans;8;Leicestershire;81542;0.29;0.28;0.13;0.21;0.08;0.00;0.00;0.01;0.545;0.327;0.04;0.086;0;0;0;0
Bournemouth East;Unknown (LAB gain from CON);10;Dorset;74125;0.15;0.34;0.08;0.23;0.13;0.00;0.00;0.08;0.19;0.744;0.007;0.055;0.004;0;0;0
Bournemouth West;Unknown (LAB gain from CON);10;Dorset;74205;0.19;0.29;0.06;0.29;0.13;0.00;0.00;0.04;0.189;0.745;0.013;0.05;0.001;0;0;0
Bracknell;Unknown (LAB gain from CON);12;Berkshire;78978;0.16;0.32;0.06;0.19;0.16;0.00;0.00;0.11;0.481;0.48;0.006;0.032;0.001;0;0;0
Bradford East;Imran Hussain;5;West Yorkshire;73206;0.32;0.24;0.08;0.27;0.08;0.00;0.00;0.01;0;0.994;0;0.006;0;0;0;0
Bradford South;Judith Cummins;5;West Yorkshire;69046;0.17;0.42;0.10;0.12;0.15;0.00;0.00;0.04;0.004;0.978;0;0.018;0;0;0;0
Bradford West;Naz Shah;5;West Yorkshire;70694;0.29;0.35;0.10;0.12;0.12;0.00;0.00;0.02;0;1;0;0;0;0;0;0
Braintree;James Cleverly;9;Essex;75208;0.22;0.38;0.11;0.14;0.13;0.00;0.00;0.03;0.64;0.317;0.003;0.04;0;0;0;0
Brent Central;Dawn Butler;11;Brent;84032;0.34;0.21;0.12;0.26;0.06;0.00;0.00;0.01;0;0.999;0;0.001;0;0;0;0
Brent North;Barry Gardiner;11;Brent;83788;0.29;0.22;0.15;0.26;0.07;0.00;0.00;0.01;0.001;0.995;0;0.003;0;0;0;0
Brentford and Isleworth;Ruth Cadbury;11;Hounslow;85775;0.31;0.22;0.08;0.31;0.06;0.00;0.00;0.02;0.006;0.99;0;0.003;0;0;0;0
Brentwood and Ongar;Alex Burghart;9;Essex;75255;0.32;0.23;0.06;0.31;0.07;0.00;0.00;0.01;0.857;0.097;0.018;0.027;0;0;0;0
Bridgwater and West Somerset;Ian Liddell-Grainger;10;Somerset;85327;0.20;0.36;0.12;0.08;0.21;0.00;0.00;0.03;0.582;0.304;0.051;0.062;0;0;0;0
Brigg and Goole;Andrew Percy;5;Humber area;65939;0.10;0.27;0.07;0.07;0.49;0.00;0.00;0.01;0.547;0.413;0;0.04;0;0;0;0
Brighton Kemptown;Lloyd Russell-Moyle;12;East Sussex;69833;0.07;0.28;0.07;0.04;0.53;0.00;0.00;0.01;0.006;0.987;0;0.006;0;0;0;0
Brighton Pavilion;Caroline Lucas;12;East Sussex;79057;0.15;0.38;0.09;0.07;0.29;0.00;0.00;0.02;0.002;0.246;0;0.004;0.747;0;0;0
Bristol East;Kerry McCarthy;10;Bristol area;73867;0.16;0.37;0.08;0.17;0.19;0.00;0.00;0.02;0.032;0.968;0;0;0;0;0;0
Bristol North West;Darren Jones;10;Bristol area;76273;0.15;0.41;0.11;0.13;0.19;0.00;0.00;0.01;0.025;0.952;0.002;0.019;0.002;0;0;0
Bristol South;Karin Smyth;10;Bristol area;84079;0.13;0.35;0.09;0.17;0.25;0.00;0.00;0.01;0.005;0.963;0.002;0.028;0.002;0;0;0
Bristol West;Thangam Debbonaire;10;Bristol area;99253;0.30;0.27;0.12;0.22;0.08;0.00;0.00;0.01;0;0.69;0;0.005;0.305;0;0;0
Broadland;Jerome Mayhew;9;Norfolk;78151;0.31;0.29;0.11;0.20;0.08;0.00;0.00;0.01;0.506;0.297;0.116;0.08;0;0;0;0
Bromley and Chislehurst;Unknown (LAB gain from CON);11;Bromley;66697;0.31;0.24;0.14;0.23;0.06;0.00;0.00;0.02;0.287;0.682;0.004;0.025;0.001;0;0;0
Bromsgrove;Sajid Javid;7;Hereford and Worcestershire;75078;0.33;0.25;0.08;0.25;0.08;0.00;0.00;0.01;0.6;0.352;0.002;0.045;0;0;0;0
Broxbourne;Charles Walker;9;Hertfordshire;73182;0.23;0.33;0.10;0.23;0.10;0.00;0.00;0.02;0.646;0.326;0.004;0.024;0;0;0;0
Broxtowe;Unknown (LAB gain from CON);8;Nottinghamshire;73052;0.29;0.31;0.11;0.20;0.08;0.00;0.00;0.01;0.055;0.928;0;0.017;0;0;0;0
Buckingham;Greg Smith;12;Buckinghamshire;83146;0.33;0.18;0.23;0.17;0.07;0.00;0.00;0.01;0.743;0.152;0.073;0.031;0;0;0;0
Burnley;Unknown (LAB gain from CON);4;Lancashire;64345;0.21;0.26;0.18;0.26;0.08;0.00;0.00;0.01;0.032;0.882;0;0.085;0.001;0;0;0
Burton;Unknown (LAB gain from CON);7;Staffordshire;75036;0.29;0.29;0.07;0.25;0.07;0.00;0.00;0.02;0.302;0.681;0;0.017;0;0;0;0
Bury North;Unknown (LAB gain from CON);4;Western Manchester;68802;0.26;0.34;0.06;0.23;0.08;0.00;0.00;0.02;0.03;0.96;0;0.009;0;0;0;0
Bury South;Unknown (LAB gain from CON);4;Western Manchester;75152;0.22;0.36;0.07;0.23;0.10;0.00;0.00;0.02;0.009;0.974;0;0.016;0;0;0;0
Bury St Edmunds;Jo Churchill;9;Suffolk;89644;0.28;0.28;0.09;0.21;0.12;0.00;0.00;0.01;0.585;0.291;0.002;0.083;0.038;0;0;0
Calder Valley;Unknown (LAB gain from CON);5;West Yorkshire;79287;0.24;0.35;0.08;0.22;0.10;0.00;0.00;0.01;0.046;0.943;0;0.011;0;0;0;0
Camberwell and Peckham;Harriet Harman;11;Southwark;88971;0.24;0.33;0.11;0.23;0.08;0.00;0.00;0.01;0;1;0;0;0;0;0;0
Camborne and Redruth;Unknown (LAB gain from CON);10;Cornwall;70250;0.13;0.39;0.19;0.05;0.21;0.00;0.00;0.02;0.166;0.783;0.014;0.036;0;0;0;0
Cambridge;Daniel Zeichner;9;Cambridgeshire;79951;0.37;0.18;0.08;0.29;0.07;0.00;0.00;0.01;0.015;0.956;0.027;0;0.001;0;0;0
Cambridgeshire North East;Steve Barclay;9;Cambridgeshire;83699;0.30;0.27;0.09;0.24;0.09;0.00;0.00;0.01;0.768;0.187;0.005;0.04;0;0;0;0
Cambridgeshire North West;Shailesh Vara;9;Cambridgeshire;94909;0.25;0.15;0.37;0.13;0.08;0.00;0.00;0.01;0.523;0.425;0.01;0.042;0;0;0;0
Cambridgeshire South;Unknown (LIB gain from CON);9;Cambridgeshire;87288;0.28;0.28;0.06;0.30;0.07;0.00;0.00;0.01;0.096;0.054;0.828;0.021;0;0;0;0
Cambridgeshire South East;Unknown (LIB gain from CON);9;Cambridgeshire;86769;0.23;0.34;0.11;0.17;0.14;0.00;0.00;0.01;0.223;0.147;0.592;0.037;0;0;0;0
Cannock Chase;Unknown (LAB gain from CON);7;Staffordshire;74813;0.26;0.31;0.08;0.26;0.08;0.00;0.00;0.01;0.461;0.506;0;0.032;0;0;0;0
Canterbury;Rosie Duffield;12;Kent;80203;0.25;0.16;0.33;0.18;0.06;0.00;0.00;0.01;0.047;0.927;0.001;0.023;0.001;0;0;0
Carlisle;Unknown (LAB gain from CON);4;Cumbria;65105;0.35;0.19;0.06;0.33;0.06;0.00;0.00;0.01;0.058;0.918;0;0.023;0;0;0;0
Carshalton and Wallington;Unknown (LIB gain from CON);11;Sutton;72941;0.28;0.27;0.08;0.28;0.08;0.00;0.00;0.01;0.128;0.091;0.728;0.052;0;0;0;0
Castle Point;Rebecca Harris;9;Essex;69608;0.22;0.19;0.34;0.16;0.07;0.00;0.00;0.01;0.664;0.233;0.001;0.102;0;0;0;0
Charnwood;Edward Argar;8;Leicestershire;79534;0.28;0.15;0.32;0.18;0.06;0.00;0.00;0.01;0.537;0.415;0;0.048;0;0;0;0
Chatham and Aylesford;Unknown (LAB gain from CON);12;Kent;71642;0.31;0.34;0.11;0.11;0.12;0.00;0.00;0.01;0.42;0.545;0.001;0.033;0;0;0;0
Cheadle;Unknown (LIB gain from CON);4;Eastern Manchester;74577;0.32;0.12;0.39;0.08;0.09;0.00;0.00;0.01;0.201;0.143;0.588;0.068;0;0;0;0
Chelmsford;Vicky Ford;9;Essex;80394;0.32;0.12;0.35;0.15;0.06;0.00;0.00;0.01;0.35;0.303;0.287;0.06;0;0;0;0
Chelsea and Fulham;Unknown (LAB gain from CON);11;Hammersmith and Fulham;67110;0.22;0.35;0.08;0.25;0.09;0.00;0.00;0.02;0.299;0.676;0.004;0.021;0;0;0;0
Cheltenham;Unknown (LIB gain from CON);10;Gloucestershire;81044;0.21;0.39;0.08;0.19;0.12;0.00;0.00;0.01;0.276;0.005;0.719;0;0;0;0;0
Chesham and Amersham;Unknown (LIB gain from CON);12;Buckinghamshire;72542;0.32;0.28;0.11;0.19;0.07;0.00;0.00;0.02;0.425;0.001;0.568;0.006;0;0;0;0
Chester, City of;Chris Matheson;4;Cheshire;76057;0.20;0.35;0.08;0.25;0.10;0.00;0.00;0.01;0.013;0.984;0;0.003;0;0;0;0
Chesterfield;Toby Perkins;8;Derbyshire;71034;0.25;0.11;0.38;0.19;0.06;0.00;0.00;0.01;0.019;0.953;0;0.028;0;0;0;0
Chichester;Gillian Keegan;12;West Sussex;85499;0.34;0.28;0.07;0.16;0.08;0.00;0.00;0.07;0.513;0.153;0.223;0.108;0.002;0;0;0
Chingford and Woodford Green;Unknown (LAB gain from CON);11;Waltham Forest;65393;0.28;0.12;0.35;0.17;0.06;0.00;0.00;0.01;0.054;0.942;0;0.004;0;0;0;0
Chippenham;Unknown (LIB gain from CON);10;Wiltshire;77221;0.31;0.36;0.09;0.13;0.10;0.00;0.00;0.01;0.379;0.05;0.544;0.027;0;0;0;0
Chipping Barnet;Unknown (LAB gain from CON);11;Barnet;79960;0.10;0.53;0.06;0.12;0.16;0.00;0.00;0.04;0.057;0.935;0;0.007;0;0;0;0
Chorley;Lindsay Hoyle;4;Lancashire;78177;0.34;0.17;0.18;0.24;0.06;0.00;0.00;0.02;0;1;0;0;0;0;0;0
Christchurch;Christopher Chope;10;Dorset;71520;0.26;0.34;0.13;0.11;0.13;0.00;0.00;0.02;0.846;0.077;0.024;0.052;0;0;0;0
Cities of London and Westminster;Unknown (LAB gain from CON);11;City of Westminster;63700;0.29;0.14;0.06;0.44;0.05;0.00;0.00;0.01;0.101;0.857;0.014;0.026;0;0;0;0
Clacton;Giles Watling;9;Essex;70930;0.10;0.46;0.15;0.07;0.20;0.00;0.00;0.01;0.749;0.172;0.002;0.076;0;0;0;0
Cleethorpes;Martin Vickers;5;Humber area;73689;0.23;0.34;0.14;0.19;0.09;0.00;0.00;0.01;0.515;0.442;0;0.042;0;0;0;0
Colchester;Unknown (LAB gain from CON);9;Essex;82625;0.27;0.33;0.07;0.22;0.10;0.00;0.00;0.01;0.165;0.781;0.018;0.035;0;0;0;0
Colne Valley;Unknown (LAB gain from CON);5;West Yorkshire;84174;0.28;0.32;0.08;0.23;0.07;0.00;0.00;0.02;0.038;0.941;0;0.021;0;0;0;0
Congleton;Unknown (LAB gain from CON);4;Cheshire;80930;0.26;0.33;0.07;0.24;0.08;0.00;0.00;0.01;0.374;0.578;0.001;0.047;0;0;0;0
Copeland;Unknown (LAB gain from CON);4;Cumbria;61693;0.26;0.10;0.37;0.21;0.05;0.00;0.00;0.01;0.038;0.946;0;0.016;0;0;0;0
Corby;Unknown (LAB gain from CON);8;Northamptonshire;86153;0.27;0.27;0.16;0.23;0.06;0.00;0.00;0.01;0.089;0.894;0;0.016;0;0;0;0
Cornwall North;Unknown (LIB gain from CON);10;Cornwall;69935;0.31;0.18;0.24;0.18;0.08;0.00;0.00;0.01;0.379;0.02;0.549;0.052;0;0;0;0
Cornwall South East;Sheryll Murray;10;Cornwall;71825;0.31;0.12;0.35;0.15;0.05;0.00;0.00;0.01;0.579;0.265;0.098;0.057;0;0;0;0
Cotswolds, The;Geoffrey Clifton-Brown;10;Gloucestershire;81939;0.19;0.38;0.07;0.23;0.11;0.00;0.00;0.02;0.524;0.069;0.341;0.064;0.002;0;0;0
Coventry North East;Colleen Fletcher;7;Coventry and Solihull;76006;0.21;0.37;0.08;0.22;0.11;0.00;0.00;0.01;0;0.995;0;0.004;0;0;0;0
Coventry North West;Taiwo Owatemi;7;Coventry and Solihull;75247;0.24;0.37;0.10;0.17;0.10;0.00;0.00;0.02;0.03;0.957;0;0.012;0.001;0;0;0
Coventry South;Zarah Sultana;7;Coventry and Solihull;70979;0.19;0.38;0.07;0.26;0.08;0.00;0.00;0.01;0.032;0.961;0;0.007;0;0;0;0
Crawley;Unknown (LAB gain from CON);12;West Sussex;74207;0.25;0.32;0.08;0.23;0.09;0.00;0.00;0.02;0.109;0.867;0;0.022;0;0;0;0
Crewe and Nantwich;Unknown (LAB gain from CON);4;Cheshire;80321;0.23;0.34;0.07;0.26;0.08;0.00;0.00;0.02;0.079;0.905;0;0.016;0;0;0;0
Croydon Central;Sarah Jones;11;Croydon;81407;0.25;0.34;0.10;0.18;0.12;0.00;0.00;0.01;0.006;0.988;0;0.006;0;0;0;0
Croydon North;Steve Reed;11;Croydon;88468;0.34;0.31;0.11;0.14;0.09;0.00;0.00;0.01;0;1;0;0;0;0;0;0
Croydon South;Unknown (LAB gain from CON);11;Croydon;83982;0.17;0.43;0.12;0.12;0.15;0.00;0.00;0.02;0.268;0.711;0.002;0.018;0;0;0;0
Dagenham and Rainham;Jon Cruddas;11;Barking and Dagenham;71045;0.20;0.32;0.06;0.27;0.13;0.00;0.00;0.02;0.004;0.981;0;0.014;0;0;0;0
Darlington;Unknown (LAB gain from CON);3;Durham;66397;0.29;0.30;0.07;0.23;0.10;0.00;0.00;0.01;0.03;0.948;0;0.022;0;0;0;0
Dartford;Unknown (LAB gain from CON);12;Kent;82209;0.29;0.28;0.08;0.25;0.09;0.00;0.00;0.01;0.414;0.561;0.001;0.022;0.001;0;0;0
Daventry;Chris Heaton-Harris;8;Northamptonshire;77423;0.30;0.24;0.12;0.26;0.08;0.00;0.00;0.01;0.634;0.325;0.001;0.038;0;0;0;0
Denton and Reddish;Andrew Gwynne;4;Eastern Manchester;66234;0.22;0.34;0.08;0.23;0.12;0.00;0.00;0.01;0;0.992;0;0.007;0;0;0;0
Derby North;Unknown (LAB gain from CON);8;Derbyshire;73199;0.17;0.32;0.07;0.29;0.10;0.00;0.00;0.05;0.031;0.949;0.001;0.019;0;0;0;0
Derby South;Margaret Beckett;8;Derbyshire;73062;0.30;0.29;0.10;0.21;0.08;0.00;0.00;0.01;0.002;0.991;0;0.007;0;0;0;0
Derbyshire Dales;Unknown (LAB gain from CON);8;Derbyshire;65080;0.29;0.30;0.07;0.23;0.09;0.00;0.00;0.01;0.389;0.511;0.009;0.09;0;0;0;0
Derbyshire Mid;Unknown (LAB gain from CON);8;Derbyshire;67442;0.30;0.29;0.07;0.25;0.08;0.00;0.00;0.01;0.374;0.574;0;0.051;0;0;0;0
Derbyshire North East;Unknown (LAB gain from CON);8;Derbyshire;72345;0.27;0.31;0.07;0.26;0.07;0.00;0.00;0.02;0.187;0.776;0;0.036;0;0;0;0
Derbyshire South;Unknown (LAB gain from CON);8;Derbyshire;79331;0.29;0.28;0.15;0.19;0.08;0.00;0.00;0.01;0.269;0.7;0;0.03;0;0;0;0
Devizes;Danny Kruger;10;Wiltshire;73372;0.28;0.11;0.33;0.21;0.06;0.00;0.00;0.01;0.688;0.21;0.053;0.049;0;0;0;0
Devon Central;Mel Stride;10;Devon;74926;0.29;0.11;0.36;0.18;0.05;0.00;0.00;0.01;0.378;0.372;0.163;0.085;0.002;0;0;0
Devon East;Simon Jupp;10;Devon;87168;0.32;0.26;0.12;0.22;0.07;0.00;0.00;0.01;0.846;0.06;0.057;0.037;0;0;0;0
Devon North;Unknown (LIB gain from CON);10;Devon;75859;0.11;0.16;0.04;0.15;0.07;0.00;0.41;0.06;0.269;0.028;0.647;0.055;0.001;0;0;0
Devon South West;Gary Streeter;10;Devon;72535;0.27;0.17;0.32;0.16;0.08;0.00;0.00;0.01;0.547;0.363;0.023;0.066;0;0;0;0
Devon West and Torridge;Geoffrey Cox;10;Devon;80403;0.21;0.34;0.06;0.28;0.09;0.00;0.00;0.02;0.568;0.196;0.116;0.119;0.001;0;0;0
Dewsbury;Unknown (LAB gain from CON);5;West Yorkshire;81253;0.29;0.29;0.06;0.29;0.07;0.00;0.00;0.01;0.031;0.956;0;0.013;0;0;0;0
Don Valley;Unknown (LAB gain from CON);5;South Yorkshire;75356;0.24;0.38;0.07;0.16;0.10;0.00;0.00;0.05;0.035;0.932;0;0.032;0;0;0;0
Doncaster Central;Rosie Winterton;5;South Yorkshire;71389;0.29;0.12;0.33;0.18;0.07;0.00;0.00;0.01;0.01;0.962;0;0.028;0;0;0;0
Doncaster North;Ed Miliband;5;South Yorkshire;72362;0.36;0.13;0.34;0.10;0.06;0.00;0.00;0.01;0.062;0.938;0;0;0;0;0;0
Dorset Mid and Poole North;Michael Tomlinson;10;Dorset;65427;0.34;0.12;0.27;0.21;0.06;0.00;0.00;0.01;0.75;0.009;0.241;0;0;0;0;0
Dorset North;Simon Hoare;10;Dorset;76765;0.28;0.27;0.16;0.22;0.07;0.00;0.00;0.01;0.833;0.055;0.079;0.033;0;0;0;0
Dorset South;Unknown (LAB gain from CON);10;Dorset;73809;0.33;0.11;0.40;0.09;0.06;0.00;0.00;0.01;0.376;0.509;0.022;0.091;0.002;0;0;0
Dorset West;Chris Loder;10;Dorset;81897;0.23;0.32;0.08;0.27;0.08;0.00;0.00;0.01;0.678;0.015;0.307;0;0;0;0;0
Dover;Unknown (LAB gain from CON);12;Kent;76355;0.36;0.20;0.11;0.23;0.09;0.00;0.00;0.01;0.247;0.726;0;0.025;0.001;0;0;0
Dudley North;Unknown (LAB gain from CON);7;Black Country;61936;0.28;0.27;0.06;0.31;0.07;0.00;0.00;0.02;0.222;0.756;0;0.021;0;0;0;0
