Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;UKIP chance;Green chance;NAT chance;MIN chance;OTH chance
Livingston;Unknown (LAB gain from NAT);2;Edinburgh area;82285;8204;22021;3052;1111;1008;18272;0;1681;0.010;0.669;0.000;0.000;0.000;0.321;0.000;0.000
Midlothian;Unknown (LAB gain from NAT);2;Edinburgh area;70544;6827;23189;2875;849;526;13662;0;1515;0.004;0.894;0.000;0.000;0.000;0.102;0.000;0.000
Moray;Douglas Ross;2;Grampian;71035;16796;11049;2008;834;546;14450;0;1968;0.575;0.109;0.000;0.000;0.000;0.316;0.000;0.000
Motherwell and Wishaw;Unknown (LAB gain from NAT);2;Glasgow area;68856;3850;21498;1590;748;433;14441;0;1856;0.000;0.849;0.000;0.000;0.000;0.151;0.000;0.000
Na h-Eileanan An Iar (Western Isles);Unknown (LAB gain from NAT);2;Western Isles;21106;2142;6754;604;255;153;4693;0;441;0.006;0.805;0.000;0.000;0.000;0.189;0.000;0.000
Ochil and South Perthshire;John Nicolson;2;Tayside;78776;16446;14918;2705;979;633;18305;0;2187;0.302;0.221;0.000;0.000;0.000;0.477;0.000;0.000
Orkney and Shetland;Alistair Carmichael;2;Orkney and Shetland;34211;791;6315;10191;429;303;4793;0;1043;0.000;0.122;0.838;0.000;0.000;0.040;0.000;0.000
Paisley and Renfrewshire North;Unknown (LAB gain from NAT);2;Glasgow area;72007;7403;20467;3063;872;545;16778;0;1569;0.008;0.698;0.000;0.000;0.000;0.294;0.000;0.000
Paisley and Renfrewshire South;Unknown (LAB gain from NAT);2;Glasgow area;64385;4438;18689;2487;754;458;16045;0;1320;0.001;0.656;0.000;0.000;0.000;0.342;0.000;0.000
Perth and North Perthshire;Pete Wishart;2;Tayside;72600;14385;12364;3050;930;635;19232;0;1828;0.224;0.122;0.000;0.000;0.000;0.653;0.000;0.000
Renfrewshire East;Kirsten Oswald;2;Glasgow area;72232;14150;16614;3356;950;622;16861;0;1791;0.191;0.399;0.000;0.000;0.000;0.410;0.000;0.000
Ross Skye and Lochaber;Ian Blackford;2;Highland;54230;3927;9906;8915;703;474;13638;0;2077;0.007;0.240;0.103;0.000;0.000;0.649;0.000;0.000
Rutherglen and Hamilton West;Unknown (LAB gain from NAT);2;Ayrshire and Lanark;80918;3788;30819;2274;1230;426;13458;0;2081;0.000;0.975;0.000;0.000;0.000;0.025;0.000;0.000
Stirling;Alyn Smith;2;Central;68473;12826;13585;2510;997;838;19183;0;1630;0.130;0.196;0.000;0.000;0.000;0.673;0.000;0.000
Antrim East;Sammy Wilson;1;Antrim;64830;5943;241;12312;9406;946;3247;0;5167;0.032;0.000;0.667;0.259;0.000;0.008;0.000;0.034
Antrim North;Ian Paisley;1;Antrim;77134;8805;785;15400;5334;371;7237;0;6119;0.113;0.000;0.765;0.020;0.000;0.065;0.000;0.037
Antrim South;Unknown (CON gain from LIB);1;Antrim;71711;13045;610;10220;7315;326;6297;0;5160;0.606;0.000;0.261;0.067;0.000;0.044;0.000;0.021
Belfast East;Unknown (Reform gain from LIB);1;Antrim;66245;3000;0;15554;18190;270;1166;0;4266;0.000;0.000;0.341;0.658;0.000;0.000;0.000;0.000
Belfast North;John Finucane;1;Antrim;72225;540;0;15216;3841;301;24379;0;4760;0.000;0.000;0.119;0.000;0.000;0.879;0.000;0.002
Belfast South;Claire Hanna;1;Antrim;69984;2001;23606;6630;5822;414;1787;0;7091;0.002;0.947;0.006;0.006;0.000;0.004;0.000;0.034
Belfast West;Paul Maskey;1;Antrim;65644;499;796;1418;1499;278;22067;6194;6031;0.000;0.000;0.000;0.000;0.000;0.996;0.000;0.004
Down North;Stephen Farry;1;Down;67099;5372;0;10647;17530;243;1050;0;5801;0.001;0.000;0.110;0.883;0.000;0.000;0.000;0.006
Down South;Chris Hazzard;1;Down;79175;4059;10868;2670;5902;419;17948;0;7895;0.004;0.137;0.002;0.013;0.000;0.799;0.000;0.044
Fermanagh and South Tyrone;Michelle Gildernew;1;Fermanagh;72848;22169;919;0;2110;134;22564;0;2866;0.479;0.000;0.000;0.000;0.000;0.521;0.000;0.000
Foyle;Colum Eastwood;1;Londonderry;74346;1731;23424;272;1009;358;11319;2032;6999;0.001;0.883;0.000;0.000;0.000;0.080;0.000;0.036
Lagan Valley;Jeffrey Donaldson;1;Antrim;75735;9208;469;14104;12162;336;2548;0;6578;0.096;0.000;0.553;0.319;0.000;0.003;0.000;0.029
Londonderry East;Gregory Campbell;1;Londonderry;69246;4251;3276;11111;5121;364;7699;0;7481;0.020;0.009;0.576;0.043;0.000;0.181;0.000;0.171
Newry and Armagh;Mickey Brady;1;Armagh;81226;4977;5725;5704;3353;431;22149;0;8441;0.002;0.002;0.006;0.000;0.000;0.967;0.000;0.022
Strangford;Jim Shannon;1;Down;66928;4560;532;13062;9871;1090;1849;0;6521;0.007;0.000;0.679;0.254;0.000;0.004;0.000;0.056
Tyrone West;Órfhlaith Begley;1;Tyrone;66259;3411;4310;4759;3169;876;18078;0;6584;0.001;0.003;0.001;0.000;0.000;0.974;0.000;0.019
Ulster Mid;Francie Molloy;1;Tyrone;70449;3295;3112;6185;2808;381;22120;0;6719;0.000;0.000;0.004;0.000;0.000;0.991;0.000;0.004
Upper Bann;Carla Lockhart;1;Armagh;82887;7008;1233;14542;5414;452;14245;0;7151;0.037;0.001;0.481;0.017;0.000;0.428;0.000;0.035
