Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (Reform gain from LAB);12;Surrey West and Aldershot;78569;10626;10763;5629;12945;7648;0;522;817;0.252;0.244;0.024;0.425;0.054;0;0;0
Aldridge-Brownhills;Wendy Morton;7;Wolverhampton and Walsall;70871;16223;4159;2267;15967;2963;0;442;503;0.398;0.018;0.002;0.576;0.006;0;0;0
Altrincham and Sale West;Connor Rand;4;Manchester Central and Trafford;74025;11723;11930;6559;9272;7571;0;1388;1253;0.351;0.378;0.028;0.162;0.08;0;0;0
Amber Valley;Unknown (Reform gain from LAB);8;Derbyshire North;71546;7393;9158;2680;18045;5495;0;1142;447;0.036;0.087;0;0.87;0.006;0;0;0
Arundel and South Downs;Andrew Griffith;12;Sussex West;77969;23069;5137;5299;13893;5413;0;535;692;0.778;0.021;0.029;0.155;0.016;0;0;0
Ashfield;Lee Anderson;8;Nottinghamshire North;68929;6075;5352;1615;24985;5582;0;2132;632;0.004;0.001;0;0.991;0.003;0;0;0
Ashford;Unknown (Reform gain from LAB);12;Kent South;76212;15310;6399;3312;15500;7772;0;510;1204;0.404;0.026;0.004;0.486;0.08;0;0;0
Ashton-under-Lyne;Unknown (Reform gain from LAB);4;Manchester East;71002;3850;7421;1795;15442;6536;0;1458;1106;0.004;0.087;0;0.873;0.036;0;0;0
Aylesbury;Unknown (CON gain from LAB);12;Buckinghamshire North;79169;11654;9002;10603;10435;7253;0;937;751;0.348;0.112;0.256;0.229;0.055;0;0;0
Banbury;Unknown (Reform gain from LAB);12;Oxfordshire;73193;9836;10731;5310;12673;6610;0;765;1300;0.204;0.288;0.017;0.46;0.031;0;0;0
Barking;Unknown (Green gain from LAB);11;Dagenham and Redbridge;79825;2285;3973;1024;12695;14062;0;1929;1802;0.005;0.08;0.001;0.436;0.477;0;0;0
Barnsley North;Unknown (Reform gain from LAB);5;Barnsley and Sheffield West;78267;2534;12391;1355;21100;4198;0;929;935;0;0.112;0;0.883;0.005;0;0;0
Barnsley South;Unknown (Reform gain from LAB);5;Barnsley and Sheffield West;75850;3550;8972;1696;21211;5353;0;808;832;0.002;0.045;0;0.947;0.006;0;0;0
Barrow and Furness;Unknown (Reform gain from LAB);4;Cumbria;74980;8180;9808;2952;15290;5025;0;1059;684;0.071;0.178;0;0.74;0.01;0;0;0
Basildon and Billericay;Unknown (Reform gain from CON);9;Essex South West;76873;8799;6826;3447;18696;5602;0;635;842;0.106;0.017;0;0.871;0.005;0;0;0
Basildon South and East Thurrock;James McMurdock;9;Essex South West;72673;10007;6261;2136;21040;5185;0;534;1211;0.082;0.004;0;0.908;0.006;0;0;0
Basingstoke;Unknown (CON gain from LAB);12;Hampshire;78487;12460;11157;5252;11934;9507;0;511;914;0.352;0.232;0.016;0.27;0.13;0;0;0
Bassetlaw;Unknown (Reform gain from LAB);8;Nottinghamshire North;78173;8449;10176;2418;16213;5789;0;694;476;0.07;0.152;0;0.764;0.012;0;0;0
Bath;Wera Hobhouse;10;Avon South;69655;7050;7126;15225;6393;12255;0;628;2319;0.04;0.03;0.604;0.029;0.295;0;0;0
Battersea;Marsha de Cordova;11;Lambeth and Wandsworth;72767;8228;12905;7468;4839;12648;0;1377;1179;0.077;0.441;0.053;0.012;0.417;0;0;0
Beaconsfield;Joy Morrissey;12;Buckinghamshire South;72751;15375;5870;10413;10550;5679;0;371;722;0.656;0.016;0.175;0.142;0.01;0;0;0
Beckenham and Penge;Liam Conlon;11;Croydon;76876;9506;14427;7452;8694;10435;0;1162;734;0.12;0.568;0.043;0.085;0.184;0;0;0
Bedford;Mohammad Yasin;9;Bedfordshire;72478;4303;14890;2421;12317;4061;0;963;1871;0.084;0.488;0.013;0.331;0.084;0;0;0
Bedfordshire Mid;Blake Stephenson;9;Bedfordshire;76218;22364;4848;2747;17183;4536;0;576;1474;0.528;0.035;0.005;0.414;0.018;0;0;0
Bedfordshire North;Richard Fuller;9;Bedfordshire;78850;23349;5615;2841;15476;4522;0;366;401;0.717;0.052;0.003;0.22;0.007;0;0;0
Bermondsey and Old Southwark;Unknown (Green gain from LAB);11;South East London;69473;3245;9213;6722;4876;13775;0;849;1380;0.004;0.174;0.04;0.012;0.769;0;0;0
Bethnal Green and Stepney;Unknown (Green gain from LAB);11;Hackney and Tower Hamlets;81922;3826;6880;4220;5721;16936;0;9349;31;0.004;0.036;0.006;0.015;0.886;0;0.052;0
Beverley and Holderness;Unknown (Reform gain from CON);5;East Yorkshire;70559;10349;9251;4788;15100;4232;0;874;1021;0.236;0.112;0.005;0.641;0.005;0;0;0
Bexhill and Battle;Unknown (Reform gain from CON);12;Sussex East;72209;16714;6015;2847;17287;4391;0;561;2182;0.404;0.038;0.002;0.545;0.011;0;0;0
Bexleyheath and Crayford;Unknown (Reform gain from LAB);11;Bexley and Bromley;69470;9601;7564;4745;15526;5707;0;696;662;0.201;0.053;0.002;0.719;0.023;0;0;0
Bicester and Woodstock;Calum Alexander Miller;12;Oxfordshire;74350;13864;4673;18774;7731;5481;0;405;1076;0.208;0.012;0.676;0.077;0.027;0;0;0
Birkenhead;Unknown (Reform gain from LAB);4;Wirral and Chester North;78091;4136;9642;3199;13078;12829;0;1712;1173;0.005;0.164;0;0.38;0.45;0;0;0
Birmingham Edgbaston;Preet Kaur Gill;7;Birmingham South;71787;6702;8600;4058;8541;8156;0;1089;1968;0.121;0.305;0.016;0.288;0.269;0;0;0
Birmingham Erdington;Unknown (Reform gain from LAB);7;Birmingham North;77463;4988;6691;2645;15403;7486;0;822;1596;0.011;0.041;0;0.869;0.078;0;0;0
Birmingham Hall Green and Moseley;Unknown (Green gain from LAB);7;Birmingham South;76936;3036;6363;4127;5740;9926;0;8898;25;0.009;0.12;0.022;0.085;0.556;0;0.208;0
Birmingham Hodge Hill and Solihull North;Unknown (Reform gain from LAB);7;Birmingham North;77737;3691;4875;1993;12905;7046;0;4536;1192;0.015;0.042;0;0.785;0.154;0;0.002;0
Birmingham Ladywood;Unknown (Green gain from LAB);7;Birmingham North;83693;2079;6149;2115;4638;11732;0;7376;21;0.003;0.068;0.001;0.024;0.83;0;0.073;0
